"t","a_x","a_y","a_z","a_abs"
2.399235417E0,3.739523621E0,1.058254349E1,-1.663790131E0,1.134647351E1
2.409314417E0,1.604363708E0,9.125323792E0,-8.538244629E-1,9.304543698E0
2.419392417E0,-5.252277832E0,3.302731934E0,7.159611511E-1,6.245563307E0
2.429471417E0,-7.291936340E0,2.201621704E0,-8.499325562E-1,7.664323784E0
2.439550417E0,-5.240602112E0,4.602030029E0,-2.445165253E0,7.390630825E0
2.449628417E0,-1.480421448E0,7.929161224E0,-2.691552887E0,8.503393577E0
2.459707417E0,8.937913513E-1,8.460406494E0,-2.798430634E0,8.955922903E0
2.469786417E0,5.343887329E-1,7.997419281E0,-2.872825928E0,8.514541402E0
2.479864417E0,2.987786865E-1,8.935967560E0,-2.348017273E0,9.244131655E0
2.489943417E0,8.104147339E-1,9.963880005E0,-1.130449219E0,1.006049662E1
2.500021417E0,1.791624298E0,1.038929535E1,-4.749623108E-1,1.055333903E1
2.510100417E0,2.378404083E0,1.083072739E1,-1.165775757E0,1.114991008E1
2.520179417E0,2.387984161E0,1.074106384E1,-1.409468994E0,1.109321972E1
2.530257417E0,1.199006653E0,9.954449615E0,-1.144220581E0,1.009147783E1
2.540336417E0,2.829116821E-2,1.055275543E1,-3.043171692E-1,1.055718033E1
2.550415417E0,-5.751040649E-1,1.055036041E1,4.879852295E-2,1.056613604E1
2.560493417E0,-1.401984558E0,1.022912842E1,-1.173858948E0,1.039127392E1
2.570572417E0,-2.116598511E0,1.023242157E1,-1.776206360E0,1.059893152E1
2.580651417E0,-2.260898438E0,1.056847275E1,-1.837878113E0,1.096275850E1
2.590729417E0,-2.045196991E0,1.043899200E1,-2.092947693E0,1.084139358E1
2.600808417E0,-1.096619568E0,1.025622208E1,-2.342329102E0,1.057729509E1
2.610886417E0,1.137783966E0,1.002495300E1,-1.663939819E0,1.022560173E1
2.620965417E0,2.789299622E0,9.135502625E0,-1.548380127E0,9.676522185E0
2.631044417E0,1.604663086E0,8.625064087E0,-1.575922852E0,8.913484558E0
2.641122417E0,4.180805969E-1,9.078171844E0,-1.446442108E0,9.202183991E0
2.651201417E0,5.215155029E-1,9.615853729E0,-1.292711792E0,9.716363782E0
2.661280417E0,1.680255890E0,9.790690155E0,-1.261726227E0,1.001363204E1
2.671358417E0,3.731739807E0,9.753717041E0,-1.136287079E0,1.050485728E1
2.681437417E0,4.234843597E0,8.493787079E0,-5.923182678E-1,9.509424807E0
2.691515417E0,2.145787811E0,7.086862793E0,-5.686674500E-1,7.426399683E0
2.701594417E0,8.436456299E-1,7.441924438E0,-1.003662872E0,7.556541303E0
2.711673417E0,1.182989960E0,7.447612610E0,-1.581161957E0,7.704964112E0
2.721751417E0,1.725461884E0,7.056326294E0,-1.140478363E0,7.353206809E0
2.731830417E0,1.773661652E0,6.769822083E0,-3.366499329E-1,7.006404203E0
2.741909417E0,1.392254791E0,7.411837006E0,-4.016148376E-1,7.552151725E0
2.751987417E0,1.174158325E0,6.202352142E0,-1.567390594E0,6.504193505E0
2.762066417E0,3.956272888E-1,6.917564850E0,-2.649939423E0,7.418315398E0
2.772145417E0,-1.803749084E-1,8.468489685E0,-2.171534271E0,8.744336095E0
2.782223417E0,9.843530273E-1,7.763605499E0,-1.281784515E0,7.930037375E0
2.792302417E0,2.068398743E0,8.601862335E0,-1.430724792E0,8.961990986E0
2.802380417E0,2.564916229E0,1.015173935E1,-6.480024719E-1,1.049078235E1
2.812459417E0,3.694167938E0,9.386680298E0,1.901046753E-2,1.008746773E1
2.822538417E0,3.921096039E0,9.163344727E0,-6.765930176E-2,9.967269360E0
2.832616417E0,2.872676239E0,1.014784744E1,4.730163574E-2,1.054672053E1
2.842695417E0,1.878743134E0,1.011581406E1,8.337661743E-2,1.028913609E1
2.852774417E0,9.842033386E-1,1.021281235E1,-2.263293457E-1,1.026262234E1
2.862852417E0,4.209246826E-1,9.554032288E0,-1.327738953E-1,9.564221842E0
2.872931417E0,-2.459385681E-1,9.169781342E0,3.802093506E-2,9.173157647E0
2.883010417E0,-8.762777710E-1,8.254135437E0,5.047503662E-1,8.315851579E0
2.893088417E0,-6.882687378E-1,7.999215546E0,1.658551025E-1,8.030483866E0
2.903167417E0,1.658251648E0,7.737709351E0,-2.444416809E0,8.282337717E0
2.913245417E0,-1.119521942E0,1.033750305E1,2.534230042E0,1.070231847E1
2.923324417E0,-9.164841614E0,1.385833145E1,7.596403198E0,1.826890840E1
2.933403417E0,-5.798641663E0,1.058957886E1,-3.769910431E0,1.264814809E1
2.943481417E0,-4.495152283E0,7.855065308E0,-1.193019104E0,9.128622000E0
2.953560417E0,-7.996072083E0,7.982749786E0,-1.791025543E0,1.143980924E1
2.963639417E0,-7.432943115E0,8.018974457E0,-2.173180847E0,1.114788364E1
2.973717417E0,-5.793701935E0,4.279151459E0,9.057664490E-1,7.259375467E0
2.983796417E0,-5.105732574E0,4.082310791E0,6.496490479E-2,6.537429690E0
2.993875417E0,-5.163662109E0,5.957611084E0,-1.635798340E0,8.051855216E0
3.003953417E0,-2.919079742E0,7.999664612E0,-9.970765686E-1,8.573786919E0
3.014032417E0,1.541793823E-1,8.848100281E0,1.242117004E0,8.936190716E0
3.024110417E0,4.240681458E-1,8.695417786E0,-2.710862732E-1,8.709971988E0
3.034189417E0,1.429826660E0,8.988807678E0,-7.017407227E-1,9.128828391E0
3.044268417E0,1.940714264E0,1.049198181E1,-5.746549988E-1,1.068542384E1
3.054346417E0,1.404978333E0,1.346135696E1,-1.421144714E0,1.360888488E1
3.064425417E0,2.336790619E0,1.634256546E1,-6.408174133E-1,1.652121918E1
3.074504417E0,3.886967010E0,1.816592377E1,-6.101312256E-1,1.858713423E1
3.084582417E0,4.890180817E0,1.894670013E1,-5.736071777E-1,1.957601439E1
3.094661417E0,4.830754395E0,1.960098953E1,-4.552033997E-1,2.019262709E1
3.104739417E0,6.294261017E0,1.942300964E1,-4.653822327E-1,2.042272279E1
3.114818417E0,3.874542847E0,2.036006104E1,-2.474055176E0,2.087259248E1
3.124897417E0,-6.556365967E-2,2.162388290E1,-1.127829666E1,2.438845190E1
3.134975417E0,-8.440946960E-1,7.892337799E0,-1.199605408E0,8.027486837E0
3.145054417E0,-1.582658844E0,3.139122162E0,4.546046448E0,5.746776076E0
3.155133417E0,-2.071991272E0,4.907993774E0,1.498084717E0,5.534058957E0
3.165211417E0,-1.076710968E0,5.695655823E0,-3.787124634E-2,5.796657312E0
3.175290417E0,-1.097368011E0,6.914720764E0,-1.343905334E0,7.129071563E0
3.185369417E0,-1.344055023E0,7.235204315E0,-1.459465027E0,7.502313213E0
3.195447417E0,-1.325044556E0,7.428602142E0,-1.118025055E0,7.628227375E0
3.205526417E0,-1.273252258E0,7.829169159E0,-7.327262878E-1,7.965798695E0
3.215604417E0,-1.005010071E0,8.489446106E0,-6.891668701E-1,8.576461473E0
3.225683417E0,-8.372090149E-1,9.375453644E0,-8.637039185E-1,9.452303128E0
3.235762417E0,-7.444020081E-1,1.020023849E1,-9.948312378E-1,1.027563569E1
3.245840417E0,-7.123686218E-1,1.079704742E1,-7.551795959E-1,1.084684278E1
3.255919417E0,-7.226971436E-1,1.103535187E1,-5.426216125E-1,1.107229516E1
3.265998417E0,-6.813830566E-1,1.090467361E1,-5.674699402E-1,1.094066779E1
3.276076417E0,-5.674699402E-1,1.053314621E1,-4.746629333E-1,1.055909542E1
3.286155417E0,-4.402345276E-1,1.018601807E1,-3.718267822E-1,1.020230492E1
3.296234417E0,-3.824546814E-1,9.930798798E0,-4.480183411E-1,9.948253956E0
3.306312417E0,-3.367996216E-1,9.664352875E0,-5.906716919E-1,9.688242540E0
3.316391417E0,-4.082011414E-1,9.486672363E0,-6.758445740E-1,9.519471970E0
3.326469417E0,-7.152127075E-1,9.587113495E0,-6.092330933E-1,9.633038946E0
