"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.084793500E0,6.884184265E-1,-9.974358215E0,2.202220459E0,1.023774959E1
2.094874500E0,5.858816528E0,-9.322613525E0,8.307723999E-1,1.104205764E1
2.104954500E0,6.330934753E0,-9.012757874E0,6.249504089E-1,1.103182226E1
2.115034500E0,4.052822113E0,-9.301058350E0,2.295326843E0,1.040209492E1
2.125115500E0,3.165766754E0,-9.762249298E0,1.937271423E0,1.044397487E1
2.135195500E0,3.126997375E0,-1.000654129E1,1.396895142E0,1.057640285E1
2.145275500E0,2.569855957E0,-9.179660797E0,4.334985352E-1,9.542444811E0
2.155356500E0,3.069666595E0,-8.643625488E0,1.269360352E-1,9.173397808E0
2.165436500E0,2.905757446E0,-8.605454865E0,3.360511780E-1,9.089015907E0
2.175517500E0,3.622017975E0,-8.824000397E0,5.454656982E-1,9.554032135E0
2.185597500E0,4.223317566E0,-9.548044739E0,1.405427399E0,1.053455247E1
2.195677500E0,3.177143097E0,-9.524992676E0,1.585502930E0,1.016531078E1
2.205758500E0,3.468137970E0,-9.161997528E0,1.033750305E0,9.850828360E0
2.215838500E0,3.068020020E0,-9.456734619E0,1.354533234E0,1.003380968E1
2.225918500E0,2.995121613E0,-1.003588028E1,1.992207184E0,1.066107574E1
2.235999500E0,2.420466614E0,-9.968220978E0,2.751578064E0,1.062051175E1
2.246079500E0,3.801494751E0,-9.266929321E0,6.298901367E-1,1.003613984E1
2.256159500E0,3.850892029E0,-8.668922882E0,-8.086184692E-1,9.520160565E0
2.266239875E0,2.374212799E0,-8.615484009E0,-1.372645569E-1,8.937689449E0
2.276319875E0,3.060535583E0,-9.030421143E0,6.280938721E-1,9.555620649E0
2.286400875E0,2.603386230E0,-8.913963318E0,1.218166809E0,9.365911182E0
2.296480875E0,2.741399231E0,-8.717272339E0,1.417552185E0,9.247462407E0
