"t","a_x","a_y","a_z","a_abs"
1.411963417E0,1.673519897E0,2.727777557E0,3.419788513E0,4.683630293E0
1.422042417E0,1.767674103E0,2.451003113E0,2.113904114E0,3.687909787E0
1.432121417E0,1.485211487E0,2.133213959E0,1.251846771E0,2.885060709E0
1.442201417E0,7.096742249E-1,1.570084991E0,6.846762085E-1,1.854072786E0
1.452280417E0,-1.257385254E-1,1.069525909E0,1.691482544E-2,1.077024586E0
1.462359417E0,-6.236032104E-1,5.748046875E-1,-7.559280396E-1,1.136093567E0
1.472439417E0,-1.035995636E0,2.923420715E-1,-1.250649261E0,1.650113457E0
1.482518417E0,-1.090781708E0,3.665876770E-1,-1.310225372E0,1.743812428E0
1.492597417E0,-8.508306885E-1,8.116122437E-1,-1.166224823E0,1.656112204E0
1.502677417E0,-2.427951050E-1,1.587748260E0,-8.966354370E-1,1.839524153E0
1.512756417E0,4.270619202E-1,2.472857666E0,-3.721261597E-1,2.536904570E0
1.522835417E0,8.747808838E-1,3.354973297E0,-3.047662354E-1,3.480512876E0
1.532914417E0,1.427281952E0,4.314028931E0,-6.408174133E-1,4.588967895E0
1.542994417E0,1.708097992E0,5.860313416E0,-9.740245056E-1,6.181391091E0
1.553073417E0,9.773176575E-1,8.203390961E0,-1.653461609E0,8.425242332E0
1.563152417E0,5.508544922E-2,1.140298737E1,-2.605481873E0,1.169699496E1
1.573232417E0,-7.517367554E-1,1.557092010E1,-3.675456848E0,1.601648039E1
1.583311417E0,-1.517993317E0,2.120460480E1,-4.493655396E0,2.172861034E1
1.593390417E0,-1.821412354E0,2.874906601E1,-3.947590942E0,2.907593186E1
1.603469417E0,-2.579436035E0,3.639711182E1,3.128494263E-2,3.648841210E1
1.613549417E0,-3.654350739E0,3.935496094E1,4.212839355E0,3.974814769E1
1.623628417E0,-5.013374634E0,3.702161316E1,5.745651855E0,3.779876032E1
1.633707417E0,-5.290149078E0,3.463138367E1,3.133284302E0,3.517294248E1
1.643787417E0,-4.784500580E0,3.509736465E1,3.040177917E0,3.555220293E1
1.653866417E0,-4.584666138E0,3.580464386E1,8.289761353E0,3.703662821E1
1.663945417E0,-4.047583008E0,3.316159012E1,1.072220306E1,3.508617428E1
1.674025417E0,-2.795736237E0,2.884845932E1,9.113498383E0,3.038265293E1
1.684104417E0,-1.127754822E0,2.419733139E1,5.639372864E0,2.487137318E1
1.694183417E0,-1.883084106E-1,1.951461914E1,2.929857330E0,1.973423128E1
1.704262417E0,-1.706451416E-1,1.428793808E1,1.065035248E0,1.432859360E1
1.714342417E0,-5.927673340E-1,9.447753296E0,-1.473386078E0,9.580306988E0
1.724421417E0,-1.444795532E0,5.155578918E0,-2.912493439E0,6.095083768E0
1.734500417E0,-1.821861420E0,1.394949188E0,-2.876867523E0,3.679868070E0
1.744580417E0,-2.062261505E0,-1.915566559E0,-2.771187286E0,3.949910978E0
1.754659417E0,-1.586700439E0,-4.457730103E0,-2.966680756E0,5.584816081E0
1.764738417E0,-1.199455719E0,-4.522395630E0,-3.321742401E0,5.738007392E0
1.774818417E0,-7.069798279E-1,-4.122876434E0,-3.149151306E0,5.235941608E0
1.784897417E0,-2.625540161E-1,-3.279380493E0,-2.236798553E0,3.978258262E0
1.794976417E0,1.678010559E-1,-2.164498901E0,-1.131796417E0,2.448300598E0
1.805055417E0,4.258644104E-1,-1.649569702E0,-8.262817383E-2,1.705657678E0
1.815135417E0,6.078858948E-1,-1.445543976E0,6.966513062E-1,1.715938720E0
1.825214417E0,8.288264465E-1,-1.250200195E0,1.248553619E0,1.951624950E0
