"t","a_x","a_y","a_z","a_abs"
1.461661113E1,1.688039703E0,-2.613115997E0,4.270619202E-1,3.140101135E0
1.462669113E1,3.028502197E0,-2.032772827E0,7.026388550E-1,3.714524503E0
1.463677113E1,3.332220612E0,-1.004561005E0,5.863307190E-1,3.529393819E0
1.464685112E1,2.924618225E0,-1.119671631E-1,2.444416809E-1,2.936950824E0
1.465693113E1,2.779270477E0,4.707710266E-1,3.216810608E-1,2.837154992E0
1.466701113E1,2.635868683E0,9.536668396E-1,7.524851990E-1,2.902329776E0
1.467709112E1,2.382894745E0,1.397344208E0,1.292262726E0,3.049705093E0
1.468717113E1,1.911225586E0,1.606908417E0,1.694626007E0,3.017730141E0
1.469725113E1,1.266815643E0,1.044827271E0,2.251767426E0,2.786923472E0
1.470733113E1,8.551716614E-1,-1.082698517E0,3.177442474E0,3.464057639E0
1.471741113E1,4.149371338E-1,-3.678750000E0,3.846551056E0,5.338663636E0
1.472749112E1,-6.105802917E-1,-5.421276398E0,2.932701416E0,6.193850472E0
1.473757113E1,-3.031495972E0,-7.577243042E0,-8.752299500E-1,8.207960003E0
1.474765113E1,-6.856192474E0,-1.471230560E1,6.619235229E-1,1.624492087E1
1.475773112E1,-1.435484894E1,-3.555915436E1,2.040272232E1,4.343715259E1
1.476781113E1,-2.143587387E1,-6.598338684E1,2.219599319E1,7.284206300E1
1.477789113E1,-2.701252716E1,-7.925254349E1,9.199719086E0,8.423346784E1
1.478797013E1,-2.024839325E1,-7.769054169E1,8.141270142E0,8.069757107E1
1.479805013E1,-9.917476501E0,-5.893708969E1,3.852388916E0,5.988971349E1
1.480813012E1,-5.629493408E0,-3.379028275E1,-3.973187714E0,3.448565825E1
1.481821013E1,-2.453398132E-1,-2.146266815E1,-2.367925873E0,2.159429065E1
1.482829013E1,4.046984253E0,-1.272399033E1,2.496508484E0,1.358346664E1
1.483837013E1,5.281616821E0,-6.832691345E0,5.134173431E0,1.004693406E1
1.484845013E1,4.780608673E0,-4.466412048E0,4.201612701E0,7.775384567E0
1.485853012E1,2.731968842E0,-2.974763947E0,2.714455261E0,4.866327327E0
1.486861013E1,-2.350112915E-1,-1.124012604E0,1.059347076E0,1.562322268E0
1.487869013E1,-2.860252075E0,1.675615540E0,-7.940986633E-1,3.408712669E0
1.488877012E1,-3.809428253E0,4.414769440E0,-2.182461548E0,6.226160232E0
1.489885013E1,-3.199596405E0,7.073989563E0,-2.039508820E0,8.027349607E0
1.490893013E1,-2.279160461E0,9.042396240E0,-9.848020935E-1,9.377064431E0
1.491901013E1,-2.312990112E0,8.978778534E0,6.007008362E-1,9.291352362E0
1.492909013E1,-2.805016937E0,7.585026855E0,1.355880432E0,8.199949034E0
1.493917012E1,-2.735561371E0,6.562952271E0,7.292834473E-1,7.147551529E0
1.494925013E1,-1.964963837E0,5.911207581E0,-4.722679138E-1,6.247118930E0
1.495933013E1,-9.123527527E-1,4.948559418E0,-1.430275726E0,5.231282492E0
1.496941012E1,3.806584167E-1,2.895728302E0,-6.768923950E-1,2.998053793E0
1.497949013E1,7.255412292E-1,1.811233521E-2,7.807763672E-1,1.065997124E0
1.498957013E1,1.998344421E-1,-1.704056396E0,1.218615875E0,2.104463508E0
1.499965012E1,-4.799020386E-1,-2.296224976E0,3.909869385E-1,2.378198034E0
1.500973013E1,-8.508306885E-1,-2.806513824E0,-6.936575317E-1,3.013568230E0
1.501981012E1,-6.144721985E-1,-3.263812866E0,-7.722441101E-1,3.409752407E0
1.502988913E1,6.426136780E-1,-3.251239014E0,-6.212081909E-2,3.314719665E0
1.503996913E1,2.180216217E0,-2.115550690E0,1.760339355E-1,3.043005984E0
1.505004913E1,3.221001892E0,-4.077520752E-1,-3.243754578E-1,3.262872106E0
1.506012913E1,3.586841125E0,5.667214966E-1,-8.354127502E-1,3.726193363E0
1.507020912E1,3.688180389E0,9.851014709E-1,-1.197360077E0,4.000846241E0
1.508028913E1,3.686234436E0,1.177900543E0,-1.125808868E0,4.030287783E0
1.509036913E1,3.315006409E0,1.141675873E0,-6.230044556E-1,3.561014721E0
1.510044912E1,2.480940857E0,8.737330627E-1,-9.759704590E-2,2.632109835E0
1.511052913E1,1.160087585E0,2.757266235E-1,2.516267395E-1,1.218665004E0
1.512060913E1,-2.421963501E-1,-8.244854736E-1,3.942800903E-1,9.454587024E-1
1.513068913E1,-1.184337158E0,-2.261197815E0,9.068142700E-1,2.708871016E0
1.514076913E1,-2.024689636E0,-3.853137360E0,2.342329102E0,4.942928409E0
1.515084912E1,-3.215164032E0,-6.012247467E0,3.906875610E0,7.857994426E0
1.516092913E1,-5.829627228E0,-9.183702393E0,9.111552429E-1,1.091582096E1
1.517100913E1,-9.876461792E0,-1.623344238E1,3.658392334E-1,1.900534102E1
1.518108912E1,-1.169967041E1,-3.315230942E1,1.401730087E1,3.784762385E1
1.519116888E1,-5.718258820E0,-5.602145279E1,2.057501404E1,5.995358921E1
